# FRONT piece boundary — closed 3D loop on the shell surface; coordinates mm, x lateral (+ wearer's left), y front-to-back (+ front), z height above waist
# piece split at the SOLVED armhole theta = +-102.9660 deg
segment,theta_deg,x_mm,y_mm,z_mm
neckline edge,-67.0845,-144.625,48.979,235.577
neckline edge,-66.9987,-144.487,49.131,235.550
neckline edge,-66.9129,-144.348,49.283,235.523
neckline edge,-66.8270,-144.209,49.434,235.495
neckline edge,-66.7412,-144.070,49.586,235.468
neckline edge,-66.6553,-143.930,49.737,235.441
neckline edge,-66.5695,-143.790,49.887,235.413
neckline edge,-66.4836,-143.650,50.038,235.386
neckline edge,-66.3978,-143.509,50.188,235.359
neckline edge,-66.3120,-143.368,50.338,235.331
neckline edge,-66.2261,-143.227,50.487,235.304
neckline edge,-66.1403,-143.085,50.637,235.277
neckline edge,-66.0544,-142.943,50.786,235.249
neckline edge,-65.9686,-142.801,50.935,235.222
neckline edge,-65.8828,-142.658,51.083,235.194
neckline edge,-65.7969,-142.515,51.232,235.167
neckline edge,-65.7111,-142.372,51.380,235.140
neckline edge,-65.6252,-142.228,51.528,235.112
neckline edge,-65.5394,-142.084,51.675,235.085
neckline edge,-65.4536,-141.940,51.822,235.057
neckline edge,-65.3677,-141.796,51.969,235.030
neckline edge,-65.2819,-141.651,52.116,235.002
neckline edge,-65.1960,-141.506,52.263,234.975
neckline edge,-65.1102,-141.360,52.409,234.947
neckline edge,-65.0244,-141.215,52.555,234.920
neckline edge,-64.9385,-141.068,52.701,234.892
neckline edge,-64.8527,-140.922,52.846,234.864
neckline edge,-64.7668,-140.776,52.991,234.837
neckline edge,-64.6810,-140.629,53.136,234.809
neckline edge,-64.5952,-140.481,53.281,234.782
neckline edge,-64.5093,-140.333,53.425,234.754
neckline edge,-64.4235,-140.186,53.570,234.726
neckline edge,-64.3376,-140.038,53.713,234.699
neckline edge,-64.2518,-139.889,53.857,234.671
neckline edge,-64.1659,-139.740,54.001,234.644
neckline edge,-64.0801,-139.591,54.144,234.616
neckline edge,-63.9943,-139.442,54.287,234.588
neckline edge,-63.9084,-139.292,54.429,234.561
neckline edge,-63.8226,-139.142,54.572,234.533
neckline edge,-63.7367,-138.992,54.714,234.505
neckline edge,-63.6509,-138.842,54.856,234.478
neckline edge,-63.5651,-138.691,54.997,234.450
neckline edge,-63.4792,-138.540,55.138,234.422
neckline edge,-63.3934,-138.388,55.280,234.394
neckline edge,-63.3075,-138.237,55.420,234.367
neckline edge,-63.2217,-138.085,55.561,234.339
neckline edge,-63.1359,-137.933,55.701,234.311
neckline edge,-63.0500,-137.780,55.841,234.284
neckline edge,-62.9642,-137.627,55.981,234.256
neckline edge,-62.8783,-137.474,56.121,234.228
neckline edge,-62.7925,-137.321,56.260,234.200
neckline edge,-62.7067,-137.167,56.399,234.172
neckline edge,-62.6208,-137.013,56.538,234.145
neckline edge,-62.5350,-136.859,56.677,234.117
neckline edge,-62.4491,-136.705,56.815,234.089
neckline edge,-62.3633,-136.550,56.953,234.061
neckline edge,-62.2775,-136.395,57.091,234.033
neckline edge,-62.1916,-136.240,57.228,234.006
neckline edge,-62.1058,-136.085,57.365,233.978
neckline edge,-62.0199,-135.929,57.502,233.950
neckline edge,-61.9341,-135.773,57.639,233.922
neckline edge,-61.8482,-135.616,57.776,233.894
neckline edge,-61.7624,-135.460,57.912,233.866
neckline edge,-61.6766,-135.303,58.048,233.839
neckline edge,-61.5907,-135.146,58.184,233.811
neckline edge,-61.5049,-134.989,58.319,233.783
neckline edge,-61.4190,-134.831,58.454,233.755
neckline edge,-61.3332,-134.673,58.589,233.727
neckline edge,-61.2474,-134.515,58.724,233.699
neckline edge,-61.1615,-134.357,58.859,233.671
neckline edge,-61.0757,-134.198,58.993,233.643
neckline edge,-60.9898,-134.039,59.127,233.616
neckline edge,-60.9040,-133.880,59.261,233.588
neckline edge,-60.8182,-133.720,59.394,233.560
neckline edge,-60.7323,-133.561,59.528,233.532
neckline edge,-60.6465,-133.401,59.661,233.504
neckline edge,-60.5606,-133.241,59.793,233.476
neckline edge,-60.4748,-133.080,59.926,233.448
neckline edge,-60.3890,-132.920,60.058,233.420
neckline edge,-60.3031,-132.759,60.190,233.392
neckline edge,-60.2173,-132.598,60.322,233.364
neckline edge,-60.1314,-132.437,60.453,233.336
neckline edge,-60.0456,-132.275,60.585,233.308
neckline edge,-59.9598,-132.113,60.716,233.280
neckline edge,-59.8739,-131.951,60.846,233.252
neckline edge,-59.7881,-131.788,60.977,233.224
neckline edge,-59.7022,-131.626,61.107,233.197
neckline edge,-59.6164,-131.463,61.237,233.169
neckline edge,-59.5305,-131.300,61.367,233.141
neckline edge,-59.4447,-131.136,61.497,233.113
neckline edge,-59.3589,-130.973,61.626,233.085
neckline edge,-59.2730,-130.809,61.755,233.057
neckline edge,-59.1872,-130.645,61.884,233.029
neckline edge,-59.1013,-130.481,62.012,233.001
neckline edge,-59.0155,-130.316,62.141,232.973
neckline edge,-58.9297,-130.151,62.269,232.945
neckline edge,-58.8438,-129.986,62.397,232.917
neckline edge,-58.7580,-129.821,62.524,232.889
neckline edge,-58.6721,-129.656,62.652,232.861
neckline edge,-58.5863,-129.490,62.779,232.833
neckline edge,-58.5005,-129.324,62.906,232.805
neckline edge,-58.4146,-129.158,63.032,232.777
neckline edge,-58.3288,-128.992,63.158,232.749
neckline edge,-58.2429,-128.825,63.285,232.721
neckline edge,-58.1571,-128.658,63.411,232.693
neckline edge,-58.0713,-128.491,63.536,232.665
neckline edge,-57.9854,-128.324,63.662,232.637
